uniqueCandidateId,voterNumber,ballotNumber,partyNameArabic,partyNameEnglish,candidateSequence,nominationType,governorate,sex,fullNameArabic,fullNameEnglish,email,phone,bio,photoUrl,coverPhotoUrl,verificationStatus,verificationDocuments,verifiedAt,verifiedBy,profileCompletionPercent,viewsCount,supportersCount,postsCount,eventsCount,sourceFile,metadataH1,metadataH2,createdAt,updatedAt,lastActiveAt
"DHI-ballotNumber                  289 
ballotNumber    State Support Bloc
Name: 10, dtype: object-005553",5553,"ballotNumber                  289 
ballotNumber    State Support Bloc
Name: 10, dtype: object",,,36,Party,Dhi Qar,FEMALE,"       Meeting with Ali Jaber Ha-
                        ddad",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.387630,2025-10-17T16:36:19.387630,
"NIN-ballotNumber              255 
ballotNumber    Progress Party
Name: 11, dtype: object-007030",7030,"ballotNumber              255 
ballotNumber    Progress Party
Name: 11, dtype: object",,,29,Party,Nineveh,MALE,"       Mohamed Hassan Ali Mahmoud Kh-
                                odhod",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.391676,2025-10-17T16:36:19.391676,
"SAL-ballotNumber                       250 
ballotNumber    Alternative Allia-\nnce
Name: 12, dtype: object-005722",5722,"ballotNumber                       250 
ballotNumber    Alternative Allia-\nnce
Name: 12, dtype: object",,,12,Alliance,Saladin,FEMALE,"       Muthanna Ayed Hassan Ibrahim Al-
                             Samarani",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.397741,2025-10-17T16:36:19.397741,
"SUL-ballotNumber                          216 
ballotNumber    Kurdistan Democratic Party
Name: 13, dtype: object-000938",938,"ballotNumber                          216 
ballotNumber    Kurdistan Democratic Party
Name: 13, dtype: object",,,4,Party,Sulaymaniyah,MALE,"       Sarkot Mohammed Mohammed Amir
                           N. Sarr Yif",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.401775,2025-10-17T16:36:19.401775,
"NIN-ballotNumber                                              221 
ballotNumber    National Sovereignty Alliance - Le-\ngislation
Name: 14, dtype: object-006695",6695,"ballotNumber                                              221 
ballotNumber    National Sovereignty Alliance - Le-\ngislation
Name: 14, dtype: object",,,15,Alliance,Nineveh,MALE,"      Abdul Razak's Khuzhan Faraz Al-
                        Mutaunary",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.403791,2025-10-17T16:36:19.403791,
"NIN-ballotNumber                 211 
ballotNumber    National identity
Name: 15, dtype: object-006625",6625,"ballotNumber                 211 
ballotNumber    National identity
Name: 15, dtype: object",,,59,Party,Nineveh,MALE,"      Abdullah Fatji Muhammad Ha-
                            sirn",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.407826,2025-10-17T16:36:19.407826,
"NIN-ballotNumber              255 
ballotNumber    Progress Party
Name: 16, dtype: object-007061",7061,"ballotNumber              255 
ballotNumber    Progress Party
Name: 16, dtype: object",,,61,Party,Nineveh,MALE,"      Abdulrahman Hani Bashir Daoud Al-
                             Dabbagh",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.411613,2025-10-17T16:36:19.411613,
"DHI-ballotNumber                       250 
ballotNumber    Alternative Allia-\nnce
Name: 17, dtype: object-005375",5375,"ballotNumber                       250 
ballotNumber    Alternative Allia-\nnce
Name: 17, dtype: object",,,14,Alliance,Dhi Qar,MALE,"      Ahmed Fayez Younis Fazaa Al-
                        Hamdani",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.415652,2025-10-17T16:36:19.415652,
"BAG-ballotNumber                                           207 
ballotNumber    Reconstruction and Development Coali-\ntion
Name: 18, dtype: object-002569",2569,"ballotNumber                                           207 
ballotNumber    Reconstruction and Development Coali-\ntion
Name: 18, dtype: object",,,126,Alliance,Baghdad,MALE,"      Anwar Jafar Mohammad Javad Moh-
                       ammad Hasiran",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.417670,2025-10-17T16:36:19.417670,
"SAL-ballotNumber              255 
ballotNumber    Progress Party
Name: 19, dtype: object-005739",5739,"ballotNumber              255 
ballotNumber    Progress Party
Name: 19, dtype: object",,,5,Party,Saladin,MALE,"      Ayad Mohammed Daboun Hasir N
                            Al-Azzawi",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.419687,2025-10-17T16:36:19.419687,
"NIN-ballotNumber                              275 
ballotNumber    Kurdistan Democratic Pa-\nrner
Name: 20, dtype: object-007328",7328,"ballotNumber                              275 
ballotNumber    Kurdistan Democratic Pa-\nrner
Name: 20, dtype: object",,,62,Party,Nineveh,FEMALE,"      Cavern Saeed Mohammed Ahmed
                          Mazuri",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.423715,2025-10-17T16:36:19.423715,
"BAG-ballotNumber                       250 
ballotNumber    Alternative Allia-\nnce
Name: 21, dtype: object-003576",3576,"ballotNumber                       250 
ballotNumber    Alternative Allia-\nnce
Name: 21, dtype: object",,,49,Alliance,Baghdad,MALE,"      Dawood Salman Mohsen Ghanem
                        Al-Kaathi",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.430482,2025-10-17T16:36:19.430482,
"ERB-ballotNumber                              275 
ballotNumber    Kurdistan Democratic Pa-\nrner
Name: 22, dtype: object-000066",66,"ballotNumber                              275 
ballotNumber    Kurdistan Democratic Pa-\nrner
Name: 22, dtype: object",,,9,Party,Erbil,MALE,"      Dear brother-in-law, Kore Khan Harki",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.434509,2025-10-17T16:36:19.434509,
"BAG-ballotNumber                                 244 
ballotNumber    Al-Arafri Foun-\ndation Coalition
Name: 23, dtype: object-003405",3405,"ballotNumber                                 244 
ballotNumber    Al-Arafri Foun-\ndation Coalition
Name: 23, dtype: object",,,77,Alliance,Baghdad,FEMALE,"      Don't you feel sorry for my
beloved who asked me to leave?",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.437539,2025-10-17T16:36:19.437539,
"THE-ballotNumber               252 
ballotNumber    Design Alliance
Name: 24, dtype: object-000787",787,"ballotNumber               252 
ballotNumber    Design Alliance
Name: 24, dtype: object",,,25,Alliance,The egg,MALE,"      Duraid Abdul Bafri Nasser Hamza
                         Al-Miyaji",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.445445,2025-10-17T16:36:19.445445,
"BAG-ballotNumber                            206 
ballotNumber    Civil Democratic Allia-\nnce
Name: 25, dtype: object-002406",2406,"ballotNumber                            206 
ballotNumber    Civil Democratic Allia-\nnce
Name: 25, dtype: object",,,2,Alliance,Baghdad,FEMALE,"      Flowers by Hasir Saleh Mahdi Al-
                          Rubaie",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.447966,2025-10-17T16:36:19.447966,
"WAS-ballotNumber                                 244 
ballotNumber    Al-Arafri Foun-\ndation Coalition
Name: 26, dtype: object-007655",7655,"ballotNumber                                 244 
ballotNumber    Al-Arafri Foun-\ndation Coalition
Name: 26, dtype: object",,,1,Alliance,Wasit,MALE,"      Hasir N        Salloum Dawood Salman
                             Al-Dawri",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.463914,2025-10-17T16:36:19.463914,
"BAB-ballotNumber                 271 
ballotNumber    Services Alliance
Name: 27, dtype: object-002252",2252,"ballotNumber                 271 
ballotNumber    Services Alliance
Name: 27, dtype: object",,,17,Alliance,Babylon,MALE,"      Hasir N       Hassankataa Mus Jal-
                              iha",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.473592,2025-10-17T16:36:19.473592,
"NIN-ballotNumber              255 
ballotNumber    Progress Party
Name: 28, dtype: object-007060",7060,"ballotNumber              255 
ballotNumber    Progress Party
Name: 28, dtype: object",,,60,Party,Nineveh,FEMALE,"      Hoda Jarallah Dawood Hasir N
                          Al-Ghabsha",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.483684,2025-10-17T16:36:19.483684,
"BAB-ballotNumber                          259 
ballotNumber    National Depth Allia-\nnce
Name: 29, dtype: object-002212",2212,"ballotNumber                          259 
ballotNumber    National Depth Allia-\nnce
Name: 29, dtype: object",,,1,Alliance,Babylon,MALE,"      Jassim Mohammed Ashlaka, the end
                   of evil, technically",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.493490,2025-10-17T16:36:19.493490,
"WAS-ballotNumber                                 244 
ballotNumber    Al-Arafri Foun-\ndation Coalition
Name: 30, dtype: object-007657",7657,"ballotNumber                                 244 
ballotNumber    Al-Arafri Foun-\ndation Coalition
Name: 30, dtype: object",,,3,Alliance,Wasit,MALE,"      Karim Salman Nasser Hasir N
                         Baydani",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.501564,2025-10-17T16:36:19.501564,
"NIN-ballotNumber                      267 
ballotNumber    Nineveh for its people
Name: 31, dtype: object-007113",7113,"ballotNumber                      267 
ballotNumber    Nineveh for its people
Name: 31, dtype: object",,,29,Party,Nineveh,MALE,"      Marwan Hazem Abdel Rahman Dhnoon Abdel Rah-
                                         man",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.509761,2025-10-17T16:36:19.509761,
"DHI-ballotNumber                  245 
ballotNumber    Canon's secr-\nets
Name: 32, dtype: object-005352",5352,"ballotNumber                  245 
ballotNumber    Canon's secr-\nets
Name: 32, dtype: object",,,14,Party,Dhi Qar,MALE,"      Mohammed Rashid Hashim Fadl Al-
                                 Akili",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.533390,2025-10-17T16:36:19.533390,
"SAL-ballotNumber              255 
ballotNumber    Progress Party
Name: 33, dtype: object-005746",5746,"ballotNumber              255 
ballotNumber    Progress Party
Name: 33, dtype: object",,,12,Party,Saladin,MALE,"      Mohammed Shweish Ahmed Haseer N
                               Al-Qaisi",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.542978,2025-10-17T16:36:19.542978,
"NAJ-ballotNumber                 218 
ballotNumber    Badr Organization
Name: 34, dtype: object-001539",1539,"ballotNumber                 218 
ballotNumber    Badr Organization
Name: 34, dtype: object",,,1,Party,Najaf,MALE,"      Mohsen Yasser Taha Youssef Al-
                           Hizba",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.550888,2025-10-17T16:36:19.550888,
"BAB-ballotNumber                 271 
ballotNumber    Services Alliance
Name: 35, dtype: object-002258",2258,"ballotNumber                 271 
ballotNumber    Services Alliance
Name: 35, dtype: object",,,23,Alliance,Babylon,MALE,"      Mustafa Hamza Abdul Radam Al-
                          Matrawi",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.563358,2025-10-17T16:36:19.563358,
"NIN-ballotNumber                                              221 
ballotNumber    National Sovereignty Alliance - Le-\ngislation
Name: 36, dtype: object-006696",6696,"ballotNumber                                              221 
ballotNumber    National Sovereignty Alliance - Le-\ngislation
Name: 36, dtype: object",,,16,Alliance,Nineveh,FEMALE,"      Rafel Mohammed Ahmed Haseer N
                         Al-Akeedi",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.606755,2025-10-17T16:36:19.606755,
"BAG-ballotNumber                      269 
ballotNumber    National res-\nolution
Name: 37, dtype: object-004296",4296,"ballotNumber                      269 
ballotNumber    National res-\nolution
Name: 37, dtype: object",,,105,Alliance,Baghdad,MALE,"      Razzaq Mukhalaf Ali Hasir N
                        Al-Masari",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.670941,2025-10-17T16:36:19.670941,
"BAG-ballotNumber                202 
ballotNumber    Sadiqun Movement
Name: 38, dtype: object-002307",2307,"ballotNumber                202 
ballotNumber    Sadiqun Movement
Name: 38, dtype: object",,,38,Party,Baghdad,MALE,"      Riyadh Muhammad Hasan Akab Al-Hasthan
                                         Y",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.731740,2025-10-17T16:36:19.731740,
"BAB-ballotNumber                 239 
ballotNumber    Sumerian movement
Name: 39, dtype: object-002076",2076,"ballotNumber                 239 
ballotNumber    Sumerian movement
Name: 39, dtype: object",,,18,Party,Babylon,MALE,"      Saad Ibrahim Talib, Sultani Dialo-
                              gue",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.741737,2025-10-17T16:36:19.742739,
"NAJ-ballotNumber                              231 
ballotNumber    National State Forces Alliance
Name: 40, dtype: object-001602",1602,"ballotNumber                              231 
ballotNumber    National State Forces Alliance
Name: 40, dtype: object",,,16,Alliance,Najaf,FEMALE,"      Visions of Ali Muhammad Ali Darw-
                            ish Al-Lami",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.750907,2025-10-17T16:36:19.750907,
"NIN-ballotNumber                                              221 
ballotNumber    National Sovereignty Alliance - Le-\ngislation
Name: 41, dtype: object-006694",6694,"ballotNumber                                              221 
ballotNumber    National Sovereignty Alliance - Le-\ngislation
Name: 41, dtype: object",,,14,Alliance,Nineveh,MALE,"      Youssef Mu'ayyad Hasir N       Fay-
                    yad Al-Badranani",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.754897,2025-10-17T16:36:19.754897,
"BAG-ballotNumber                      269 
ballotNumber    National res-\nolution
Name: 42, dtype: object-004209",4209,"ballotNumber                      269 
ballotNumber    National res-\nolution
Name: 42, dtype: object",,,17,Alliance,Baghdad,MALE,"     Ahmed Ibrahim Haseer N Moh-
               ammed Al-Takrithri",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.761915,2025-10-17T16:36:19.761915,
"THE-ballotNumber               224 
ballotNumber    Good news, Iraq
Name: 43, dtype: object-001395",1395,"ballotNumber               224 
ballotNumber    Good news, Iraq
Name: 43, dtype: object",,,1,Alliance,The two,MALE,"     Ahmed Marzouq Salal Mohammed
                        Al-Hassani",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.767375,2025-10-17T16:36:19.767375,
"NIN-ballotNumber               240 
ballotNumber    National masses
Name: 44, dtype: object-006845",6845,"ballotNumber               240 
ballotNumber    National masses
Name: 44, dtype: object",,,27,Party,Nineveh,MALE,"     Ahmed Mohammed Abdullah Saleh Al-
                               Khatani",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.767375,2025-10-17T16:36:19.767375,
"NIN-ballotNumber         286 
ballotNumber    Civilians
Name: 45, dtype: object-007429",7429,"ballotNumber         286 
ballotNumber    Civilians
Name: 45, dtype: object",,,38,Party,Nineveh,MALE,"     Bashar Abdul Karim Atallah Khadhn-
                             hamid",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.767375,2025-10-17T16:36:19.767375,
"BAG-ballotNumber                                              221 
ballotNumber    National Sovereignty Alliance - Le-\ngislation
Name: 46, dtype: object-002848",2848,"ballotNumber                                              221 
ballotNumber    National Sovereignty Alliance - Le-\ngislation
Name: 46, dtype: object",,,97,Alliance,Baghdad,MALE,"     Bashir Ahmed kneeling on me, the
                           narrator",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.777918,2025-10-17T16:36:19.777918,
"THE-ballotNumber                              231 
ballotNumber    National State Forces Alliance
Name: 47, dtype: object-000642",642,"ballotNumber                              231 
ballotNumber    National State Forces Alliance
Name: 47, dtype: object",,,30,Alliance,The egg,FEMALE,"     Batoul Fawzi Hasiran Alwan
                    Shikhanni",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.777918,2025-10-17T16:36:19.777918,
"THE-ballotNumber               252 
ballotNumber    Design Alliance
Name: 48, dtype: object-000780",780,"ballotNumber               252 
ballotNumber    Design Alliance
Name: 48, dtype: object",,,18,Alliance,The egg,FEMALE,"     Fatima Salman Zubari Salem
                  Al-Zarkanani",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.777918,2025-10-17T16:36:19.777918,
"BAB-ballotNumber                      257 
ballotNumber    State of Law Coalition
Name: 49, dtype: object-002206",2206,"ballotNumber                      257 
ballotNumber    State of Law Coalition
Name: 49, dtype: object",,,26,Alliance,Babylon,MALE,"     Haitham Mohammed Kazim Mansi
                       Al-Jabouri",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.793743,2025-10-17T16:36:19.793743,
"THE-ballotNumber               252 
ballotNumber    Design Alliance
Name: 50, dtype: object-000777",777,"ballotNumber               252 
ballotNumber    Design Alliance
Name: 50, dtype: object",,,15,Alliance,The egg,MALE,"     Hamed Abdel-Hassir Muhammad Abtan Al-
                                 Hassir",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.795773,2025-10-17T16:36:19.795773,
"BAG-ballotNumber                             269 
ballotNumber     National res-\n      olution
Name: 51, dtype: object-004325",4325,"ballotNumber                             269 
ballotNumber     National res-\n      olution
Name: 51, dtype: object",,,135,Alliance,Baghdad,FEMALE,"     Hanir N Abdul Karim Hasir N
                          Jarbi'ah",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.803642,2025-10-17T16:36:19.803642,
"BAB-ballotNumber                 271 
ballotNumber    Services Alliance
Name: 52, dtype: object-002253",2253,"ballotNumber                 271 
ballotNumber    Services Alliance
Name: 52, dtype: object",,,18,Alliance,Babylon,MALE,"     Hasir N       Mazharna Sahrha N Al-
                            Awidi",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.816643,2025-10-17T16:36:19.816643,
"BAB-ballotNumber                          259 
ballotNumber    National Depth Allia-\nnce
Name: 53, dtype: object-002221",2221,"ballotNumber                          259 
ballotNumber    National Depth Allia-\nnce
Name: 53, dtype: object",,,14,Alliance,Babylon,MALE,"     Hasir N       Nima Muhsin Kadhim Dha-
                                bahawi",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.833512,2025-10-17T16:36:19.833512,
"ERB-ballotNumber            225 
ballotNumber    Stand Group 
Name: 54, dtype: object-000041",41,"ballotNumber            225 
ballotNumber    Stand Group 
Name: 54, dtype: object",,,7,Party,Erbil,MALE,"     Hassan Ahmed Sirr Yif Moha-
                 mmed Amir N",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.841523,2025-10-17T16:36:19.841523,
"DHI-ballotNumber                  289 
ballotNumber    State Support Bloc
Name: 55, dtype: object-005542",5542,"ballotNumber                  289 
ballotNumber    State Support Bloc
Name: 55, dtype: object",,,24,Party,Dhi Qar,FEMALE,"     Hoda Hadi, taste of Damis Al-Hamdani",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.850557,2025-10-17T16:36:19.850557,
"BAG-ballotNumber                202 
ballotNumber    Sadiqun Movement
Name: 56, dtype: object-002296",2296,"ballotNumber                202 
ballotNumber    Sadiqun Movement
Name: 56, dtype: object",,,27,Party,Baghdad,MALE,"     I am very sad about Hafez Muhammad Al-
                               Zirjawi",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.855552,2025-10-17T16:36:19.855552,
"DIY-ballotNumber                                              221 
ballotNumber    National Sovereignty Alliance - Le-\ngislation
Name: 57, dtype: object-004722",4722,"ballotNumber                                              221 
ballotNumber    National Sovereignty Alliance - Le-\ngislation
Name: 57, dtype: object",,,7,Alliance,Diyala,FEMALE,"     Ibtihal Mohsen Anoud Hasir N
                        Al-Daithan Y",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.861566,2025-10-17T16:36:19.861566,
"BAG-ballotNumber                 241 
ballotNumber    Azm Iraq Alliance
Name: 58, dtype: object-003275",3275,"ballotNumber                 241 
ballotNumber    Azm Iraq Alliance
Name: 58, dtype: object",,,83,Alliance,Baghdad,MALE,"     Imad Hamid Shihan Hasirn Al-
                        Janani",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.865727,2025-10-17T16:36:19.865727,
"SUL-ballotNumber                       278 
ballotNumber    Kurdistan Islamic Union
Name: 59, dtype: object-001051",1051,"ballotNumber                       278 
ballotNumber    Kurdistan Islamic Union
Name: 59, dtype: object",,,7,Party,Sulaymaniyah,MALE,"     Ismail Ahmed Haseer N Moh-
                       ammed",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.869328,2025-10-17T16:36:19.869328,
"BAG-ballotNumber                                              221 
ballotNumber    National Sovereignty Alliance - Le-\ngislation
Name: 60, dtype: object-002875",2875,"ballotNumber                                              221 
ballotNumber    National Sovereignty Alliance - Le-\ngislation
Name: 60, dtype: object",,,124,Alliance,Baghdad,MALE,"     Jamal Khadir Mohammed Ah-
              med Al-Hamdani",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.871348,2025-10-17T16:36:19.871348,
