Candidate ID,Full Name (AR),Full Name (EN),Political Party,Governorate,Gender,Phone,Email,Twitter,Facebook,Instagram,Verification Status
2025_1624_أربيل,المرشح العراقي 1624,Iraqi Candidate 1624,الفتح,أربيل,أنثى,,,,,,
2025_1626_أربيل,المرشح العراقي 1626,Iraqi Candidate 1626,تحالف السيادة,أربيل,أنثى,,,,,,
2025_1640_أربيل,المرشح العراقي 1640,Iraqi Candidate 1640,سائرون,أربيل,أنثى,,,,,,
2025_1665_أربيل,المرشح العراقي 1665,Iraqi Candidate 1665,تحالف السيادة,أربيل,ذكر,,,,,,
2025_1726_أربيل,المرشح العراقي 1726,Iraqi Candidate 1726,الوطنية,أربيل,أنثى,,,,,,
2025_1728_أربيل,المرشح العراقي 1728,Iraqi Candidate 1728,تقدم,أربيل,أنثى,,,,,,
2025_1732_أربيل,المرشح العراقي 1732,Iraqi Candidate 1732,الاتحاد الوطني الكردستاني,أربيل,أنثى,,,,,,
2025_1737_أربيل,المرشح العراقي 1737,Iraqi Candidate 1737,الحكمة,أربيل,أنثى,,,,,,
2025_1748_أربيل,المرشح العراقي 1748,Iraqi Candidate 1748,الفتح,أربيل,أنثى,,,,,,
2025_1760_أربيل,المرشح العراقي 1760,Iraqi Candidate 1760,الفتح,أربيل,ذكر,,,,,,
2025_1771_أربيل,المرشح العراقي 1771,Iraqi Candidate 1771,حركة امتداد,أربيل,أنثى,,,,,,
2025_1792_أربيل,المرشح العراقي 1792,Iraqi Candidate 1792,الوطنية,أربيل,ذكر,,,,,,
2025_1804_أربيل,المرشح العراقي 1804,Iraqi Candidate 1804,سائرون,أربيل,ذكر,,,,,,
2025_1825_أربيل,المرشح العراقي 1825,Iraqi Candidate 1825,النصر,أربيل,أنثى,,,,,,
2025_1836_أربيل,المرشح العراقي 1836,Iraqi Candidate 1836,دولة القانون,أربيل,ذكر,,,,,,
2025_1843_أربيل,المرشح العراقي 1843,Iraqi Candidate 1843,تقدم,أربيل,ذكر,,,,,,
2025_1868_أربيل,المرشح العراقي 1868,Iraqi Candidate 1868,الاتحاد الوطني الكردستاني,أربيل,ذكر,,,,,,
2025_1872_أربيل,المرشح العراقي 1872,Iraqi Candidate 1872,دولة القانون,أربيل,ذكر,,,,,,
2025_1878_أربيل,المرشح العراقي 1878,Iraqi Candidate 1878,تقدم,أربيل,ذكر,,,,,,
2025_1922_أربيل,المرشح العراقي 1922,Iraqi Candidate 1922,تقدم,أربيل,ذكر,+964756673013,candidate19221922@gmail.com,,https://facebook.com/candidate19221922,https://instagram.com/candidate19221922,collected
2025_1948_أربيل,المرشح العراقي 1948,Iraqi Candidate 1948,دولة القانون,أربيل,ذكر,,,,,,
2025_2006_أربيل,المرشح العراقي 2006,Iraqi Candidate 2006,تحالف السيادة,أربيل,أنثى,,,,,,
2025_2041_أربيل,المرشح العراقي 2041,Iraqi Candidate 2041,الحكمة,أربيل,ذكر,,,,,,
2025_2049_أربيل,المرشح العراقي 2049,Iraqi Candidate 2049,الحزب الشيوعي العراقي,أربيل,ذكر,,,,,,
2025_2052_أربيل,المرشح العراقي 2052,Iraqi Candidate 2052,حركة امتداد,أربيل,ذكر,,,,,,
2025_2054_أربيل,المرشح العراقي 2054,Iraqi Candidate 2054,العزم,أربيل,ذكر,,,,,,
2025_2084_أربيل,المرشح العراقي 2084,Iraqi Candidate 2084,سائرون,أربيل,أنثى,,,,,,
2025_2119_أربيل,المرشح العراقي 2119,Iraqi Candidate 2119,تحالف السيادة,أربيل,أنثى,,,,,,
2025_2125_أربيل,المرشح العراقي 2125,Iraqi Candidate 2125,الوطنية,أربيل,ذكر,,,,,,
2025_2131_أربيل,المرشح العراقي 2131,Iraqi Candidate 2131,تحالف السيادة,أربيل,أنثى,,,,,,
2025_2163_أربيل,المرشح العراقي 2163,Iraqi Candidate 2163,العزم,أربيل,أنثى,,,,,,
2025_2175_أربيل,المرشح العراقي 2175,Iraqi Candidate 2175,تحالف السيادة,أربيل,أنثى,,,,,,
2025_2201_أربيل,المرشح العراقي 2201,Iraqi Candidate 2201,دولة القانون,أربيل,أنثى,,,,,,
2025_2210_أربيل,المرشح العراقي 2210,Iraqi Candidate 2210,الحزب الشيوعي العراقي,أربيل,ذكر,,,,,,
2025_2225_أربيل,المرشح العراقي 2225,Iraqi Candidate 2225,الوطنية,أربيل,أنثى,,,,,,
2025_2246_أربيل,المرشح العراقي 2246,Iraqi Candidate 2246,الحزب الديمقراطي الكردستاني,أربيل,أنثى,,,,,,
2025_2256_أربيل,المرشح العراقي 2256,Iraqi Candidate 2256,الحزب الشيوعي العراقي,أربيل,ذكر,,,,,,
2025_2274_أربيل,المرشح العراقي 2274,Iraqi Candidate 2274,الاتحاد الوطني الكردستاني,أربيل,ذكر,,,,,,
2025_2281_أربيل,المرشح العراقي 2281,Iraqi Candidate 2281,تحالف السيادة,أربيل,أنثى,,,,,,
2025_2323_أربيل,المرشح العراقي 2323,Iraqi Candidate 2323,دولة القانون,أربيل,أنثى,,,,,,
2025_2331_أربيل,المرشح العراقي 2331,Iraqi Candidate 2331,العزم,أربيل,ذكر,,,,,,
2025_2347_أربيل,المرشح العراقي 2347,Iraqi Candidate 2347,الوطنية,أربيل,ذكر,,,,,,
2025_2355_أربيل,المرشح العراقي 2355,Iraqi Candidate 2355,تحالف عزم,أربيل,ذكر,,,,,,
2025_2395_أربيل,المرشح العراقي 2395,Iraqi Candidate 2395,تحالف السيادة,أربيل,ذكر,,,,,,
2025_2447_أربيل,المرشح العراقي 2447,Iraqi Candidate 2447,تحالف عزم,أربيل,ذكر,+964758137092,candidate24472447@yahoo.com,https://twitter.com/candidate24472447,,https://instagram.com/candidate24472447,collected
2025_2450_أربيل,المرشح العراقي 2450,Iraqi Candidate 2450,سائرون,أربيل,أنثى,,,,,,
2025_2453_أربيل,المرشح العراقي 2453,Iraqi Candidate 2453,الحزب الديمقراطي الكردستاني,أربيل,أنثى,,,,,,
2025_2459_أربيل,المرشح العراقي 2459,Iraqi Candidate 2459,النصر,أربيل,ذكر,,,,,,
2025_2464_أربيل,المرشح العراقي 2464,Iraqi Candidate 2464,الوطنية,أربيل,ذكر,+964779507159,candidate24642464@candidate.iq,https://twitter.com/candidate24642464,,,collected
2025_2477_أربيل,المرشح العراقي 2477,Iraqi Candidate 2477,الوطنية,أربيل,أنثى,,,,,,
2025_2480_أربيل,المرشح العراقي 2480,Iraqi Candidate 2480,الوطنية,أربيل,أنثى,,,,,,
2025_2482_أربيل,المرشح العراقي 2482,Iraqi Candidate 2482,دولة القانون,أربيل,أنثى,,,,,,
2025_2497_أربيل,المرشح العراقي 2497,Iraqi Candidate 2497,تقدم,أربيل,ذكر,,,,,,
2025_2540_أربيل,المرشح العراقي 2540,Iraqi Candidate 2540,حركة امتداد,أربيل,ذكر,,,,,,
2025_2542_أربيل,المرشح العراقي 2542,Iraqi Candidate 2542,تقدم,أربيل,ذكر,,,,,,
2025_2581_أربيل,المرشح العراقي 2581,Iraqi Candidate 2581,تقدم,أربيل,أنثى,,,,,,
2025_258_أربيل,المرشح العراقي 258,Iraqi Candidate 258,النصر,أربيل,ذكر,,,,,,
2025_2608_أربيل,المرشح العراقي 2608,Iraqi Candidate 2608,النصر,أربيل,أنثى,,,,,,
2025_2613_أربيل,المرشح العراقي 2613,Iraqi Candidate 2613,سائرون,أربيل,أنثى,,,,,,
2025_2683_أربيل,المرشح العراقي 2683,Iraqi Candidate 2683,دولة القانون,أربيل,ذكر,,,,,,
2025_2736_أربيل,المرشح العراقي 2736,Iraqi Candidate 2736,العزم,أربيل,أنثى,,,,,,
2025_2753_أربيل,المرشح العراقي 2753,Iraqi Candidate 2753,العزم,أربيل,ذكر,,,,,,
2025_2766_أربيل,المرشح العراقي 2766,Iraqi Candidate 2766,العزم,أربيل,ذكر,,,,,,
2025_2767_أربيل,المرشح العراقي 2767,Iraqi Candidate 2767,تحالف عزم,أربيل,ذكر,,,,,,
2025_2768_أربيل,المرشح العراقي 2768,Iraqi Candidate 2768,الفتح,أربيل,ذكر,,,,,,
2025_2777_أربيل,المرشح العراقي 2777,Iraqi Candidate 2777,تحالف عزم,أربيل,أنثى,,,,,,
2025_2784_أربيل,المرشح العراقي 2784,Iraqi Candidate 2784,تقدم,أربيل,أنثى,,,,,,
2025_2855_أربيل,المرشح العراقي 2855,Iraqi Candidate 2855,الفتح,أربيل,أنثى,,,,,,
2025_285_أربيل,المرشح العراقي 285,Iraqi Candidate 285,دولة القانون,أربيل,ذكر,,,,,,
2025_2868_أربيل,المرشح العراقي 2868,Iraqi Candidate 2868,تحالف عزم,أربيل,ذكر,,,,,,
2025_2871_أربيل,المرشح العراقي 2871,Iraqi Candidate 2871,الحكمة,أربيل,ذكر,,,,,,
2025_2900_أربيل,المرشح العراقي 2900,Iraqi Candidate 2900,الحزب الديمقراطي الكردستاني,أربيل,ذكر,,,,,,
2025_2959_أربيل,المرشح العراقي 2959,Iraqi Candidate 2959,تحالف السيادة,أربيل,أنثى,,,,,,
2025_2960_أربيل,المرشح العراقي 2960,Iraqi Candidate 2960,النصر,أربيل,ذكر,,,,,,
2025_2961_أربيل,المرشح العراقي 2961,Iraqi Candidate 2961,الاتحاد الوطني الكردستاني,أربيل,ذكر,,,,,,
2025_2964_أربيل,المرشح العراقي 2964,Iraqi Candidate 2964,دولة القانون,أربيل,أنثى,,,,,,
2025_2977_أربيل,المرشح العراقي 2977,Iraqi Candidate 2977,الحكمة,أربيل,أنثى,,,,,,
2025_2990_أربيل,المرشح العراقي 2990,Iraqi Candidate 2990,الفتح,أربيل,أنثى,+964779348524,candidate29902990@parliament.iq,,,https://instagram.com/candidate29902990,collected
2025_3017_أربيل,المرشح العراقي 3017,Iraqi Candidate 3017,تحالف السيادة,أربيل,أنثى,,,,,,
2025_3019_أربيل,المرشح العراقي 3019,Iraqi Candidate 3019,الحكمة,أربيل,ذكر,,,,,,
2025_301_أربيل,المرشح العراقي 301,Iraqi Candidate 301,تقدم,أربيل,ذكر,,,,,,
2025_3029_أربيل,المرشح العراقي 3029,Iraqi Candidate 3029,الاتحاد الوطني الكردستاني,أربيل,أنثى,,,,,,
2025_3048_أربيل,المرشح العراقي 3048,Iraqi Candidate 3048,الفتح,أربيل,أنثى,,,,,,
2025_304_أربيل,المرشح العراقي 304,Iraqi Candidate 304,النصر,أربيل,أنثى,,,,,,
2025_3059_أربيل,المرشح العراقي 3059,Iraqi Candidate 3059,الوطنية,أربيل,أنثى,,,,,,
2025_3090_أربيل,المرشح العراقي 3090,Iraqi Candidate 3090,الحزب الديمقراطي الكردستاني,أربيل,أنثى,,,,,,
2025_3101_أربيل,المرشح العراقي 3101,Iraqi Candidate 3101,الحزب الشيوعي العراقي,أربيل,أنثى,,,,,,
2025_3112_أربيل,المرشح العراقي 3112,Iraqi Candidate 3112,الوطنية,أربيل,ذكر,,,,,,
2025_3138_أربيل,المرشح العراقي 3138,Iraqi Candidate 3138,النصر,أربيل,ذكر,,,,,,
2025_3144_أربيل,المرشح العراقي 3144,Iraqi Candidate 3144,الوطنية,أربيل,ذكر,,,,,,
2025_3145_أربيل,المرشح العراقي 3145,Iraqi Candidate 3145,الاتحاد الوطني الكردستاني,أربيل,أنثى,,,,,,
2025_3160_أربيل,المرشح العراقي 3160,Iraqi Candidate 3160,الحكمة,أربيل,أنثى,,,,,,
2025_3196_أربيل,المرشح العراقي 3196,Iraqi Candidate 3196,تقدم,أربيل,أنثى,+964772347367,candidate31963196@parliament.iq,,https://facebook.com/candidate31963196,,collected
2025_3199_أربيل,المرشح العراقي 3199,Iraqi Candidate 3199,دولة القانون,أربيل,أنثى,,,,,,
2025_3201_أربيل,المرشح العراقي 3201,Iraqi Candidate 3201,تحالف السيادة,أربيل,ذكر,+964791605330,candidate32013201@gov.iq,,,,collected
2025_3222_أربيل,المرشح العراقي 3222,Iraqi Candidate 3222,العزم,أربيل,أنثى,,,,,,
2025_3228_أربيل,المرشح العراقي 3228,Iraqi Candidate 3228,الوطنية,أربيل,أنثى,,,,,,
2025_3255_أربيل,المرشح العراقي 3255,Iraqi Candidate 3255,الحزب الديمقراطي الكردستاني,أربيل,ذكر,,,,,,
2025_3278_أربيل,المرشح العراقي 3278,Iraqi Candidate 3278,الوطنية,أربيل,أنثى,,,,,,
2025_3281_أربيل,المرشح العراقي 3281,Iraqi Candidate 3281,الاتحاد الوطني الكردستاني,أربيل,ذكر,,,,,,
2025_3284_أربيل,المرشح العراقي 3284,Iraqi Candidate 3284,الحكمة,أربيل,أنثى,,,,,,
2025_3300_أربيل,المرشح العراقي 3300,Iraqi Candidate 3300,دولة القانون,أربيل,ذكر,,,,,,
2025_3331_أربيل,المرشح العراقي 3331,Iraqi Candidate 3331,الاتحاد الوطني الكردستاني,أربيل,ذكر,,,,,,
2025_3333_أربيل,المرشح العراقي 3333,Iraqi Candidate 3333,الاتحاد الوطني الكردستاني,أربيل,أنثى,,,,,,
2025_3341_أربيل,المرشح العراقي 3341,Iraqi Candidate 3341,الحزب الشيوعي العراقي,أربيل,ذكر,,,,,,
2025_3344_أربيل,المرشح العراقي 3344,Iraqi Candidate 3344,العزم,أربيل,أنثى,,,,,,
2025_3357_أربيل,المرشح العراقي 3357,Iraqi Candidate 3357,حركة امتداد,أربيل,ذكر,,,,,,
2025_3373_أربيل,المرشح العراقي 3373,Iraqi Candidate 3373,الفتح,أربيل,أنثى,,,,,,
2025_3389_أربيل,المرشح العراقي 3389,Iraqi Candidate 3389,الحزب الديمقراطي الكردستاني,أربيل,ذكر,,,,,,
2025_3411_أربيل,المرشح العراقي 3411,Iraqi Candidate 3411,حركة امتداد,أربيل,أنثى,,,,,,
2025_3412_أربيل,المرشح العراقي 3412,Iraqi Candidate 3412,الفتح,أربيل,ذكر,,,,,,
2025_3416_أربيل,المرشح العراقي 3416,Iraqi Candidate 3416,الحكمة,أربيل,ذكر,,,,,,
2025_3421_أربيل,المرشح العراقي 3421,Iraqi Candidate 3421,النصر,أربيل,ذكر,,,,,,
2025_3438_أربيل,المرشح العراقي 3438,Iraqi Candidate 3438,الفتح,أربيل,ذكر,,,,,,
2025_3445_أربيل,المرشح العراقي 3445,Iraqi Candidate 3445,النصر,أربيل,ذكر,,,,,,
2025_3451_أربيل,المرشح العراقي 3451,Iraqi Candidate 3451,الفتح,أربيل,أنثى,,,,,,
2025_3472_أربيل,المرشح العراقي 3472,Iraqi Candidate 3472,النصر,أربيل,أنثى,,,,,,
2025_3474_أربيل,المرشح العراقي 3474,Iraqi Candidate 3474,النصر,أربيل,أنثى,,,,,,
2025_3479_أربيل,المرشح العراقي 3479,Iraqi Candidate 3479,الفتح,أربيل,أنثى,,,,,,
2025_3503_أربيل,المرشح العراقي 3503,Iraqi Candidate 3503,تحالف السيادة,أربيل,أنثى,,,,,,
2025_3512_أربيل,المرشح العراقي 3512,Iraqi Candidate 3512,الحزب الشيوعي العراقي,أربيل,ذكر,,,,,,
2025_3523_أربيل,المرشح العراقي 3523,Iraqi Candidate 3523,تحالف السيادة,أربيل,أنثى,,,,,,
2025_3537_أربيل,المرشح العراقي 3537,Iraqi Candidate 3537,الاتحاد الوطني الكردستاني,أربيل,ذكر,,,,,,
2025_3542_أربيل,المرشح العراقي 3542,Iraqi Candidate 3542,الحكمة,أربيل,أنثى,,,,,,
2025_3549_أربيل,المرشح العراقي 3549,Iraqi Candidate 3549,دولة القانون,أربيل,أنثى,,,,,,
2025_3586_أربيل,المرشح العراقي 3586,Iraqi Candidate 3586,النصر,أربيل,أنثى,,,,,,
2025_3611_أربيل,المرشح العراقي 3611,Iraqi Candidate 3611,الفتح,أربيل,أنثى,,,,,,
2025_3623_أربيل,المرشح العراقي 3623,Iraqi Candidate 3623,الحكمة,أربيل,ذكر,,,,,,
2025_3672_أربيل,المرشح العراقي 3672,Iraqi Candidate 3672,الفتح,أربيل,أنثى,,,,,,
2025_3683_أربيل,المرشح العراقي 3683,Iraqi Candidate 3683,دولة القانون,أربيل,ذكر,,,,,,
2025_3688_أربيل,المرشح العراقي 3688,Iraqi Candidate 3688,الحكمة,أربيل,ذكر,,,,,,
2025_3698_أربيل,المرشح العراقي 3698,Iraqi Candidate 3698,الحكمة,أربيل,أنثى,,,,,,
2025_3702_أربيل,المرشح العراقي 3702,Iraqi Candidate 3702,الاتحاد الوطني الكردستاني,أربيل,ذكر,,,,,,
2025_3706_أربيل,المرشح العراقي 3706,Iraqi Candidate 3706,دولة القانون,أربيل,ذكر,,,,,,
2025_379_أربيل,المرشح العراقي 379,Iraqi Candidate 379,الحزب الديمقراطي الكردستاني,أربيل,أنثى,,,,,,
2025_3838_أربيل,المرشح العراقي 3838,Iraqi Candidate 3838,تحالف السيادة,أربيل,ذكر,,,,,,
2025_3845_أربيل,المرشح العراقي 3845,Iraqi Candidate 3845,سائرون,أربيل,أنثى,,,,,,
2025_3855_أربيل,المرشح العراقي 3855,Iraqi Candidate 3855,تحالف السيادة,أربيل,أنثى,,,,,,
2025_3859_أربيل,المرشح العراقي 3859,Iraqi Candidate 3859,الحزب الديمقراطي الكردستاني,أربيل,أنثى,,,,,,
2025_3880_أربيل,المرشح العراقي 3880,Iraqi Candidate 3880,سائرون,أربيل,ذكر,,,,,,
2025_388_أربيل,المرشح العراقي 388,Iraqi Candidate 388,سائرون,أربيل,ذكر,,,,,,
2025_3890_أربيل,المرشح العراقي 3890,Iraqi Candidate 3890,العزم,أربيل,ذكر,,,,,,
2025_390_أربيل,المرشح العراقي 390,Iraqi Candidate 390,العزم,أربيل,ذكر,,,,,,
2025_3917_أربيل,المرشح العراقي 3917,Iraqi Candidate 3917,الحكمة,أربيل,ذكر,,,,,,
2025_3919_أربيل,المرشح العراقي 3919,Iraqi Candidate 3919,الحزب الديمقراطي الكردستاني,أربيل,أنثى,,,,,,
2025_3923_أربيل,المرشح العراقي 3923,Iraqi Candidate 3923,العزم,أربيل,ذكر,,,,,,
2025_3929_أربيل,المرشح العراقي 3929,Iraqi Candidate 3929,الحكمة,أربيل,ذكر,+964798221313,candidate39293929@gmail.com,,,,collected
2025_392_أربيل,المرشح العراقي 392,Iraqi Candidate 392,دولة القانون,أربيل,ذكر,+964775360521,candidate392392@yahoo.com,https://twitter.com/candidate392392,,https://instagram.com/candidate392392,collected
2025_3931_أربيل,المرشح العراقي 3931,Iraqi Candidate 3931,الوطنية,أربيل,أنثى,,,,,,
2025_3937_أربيل,المرشح العراقي 3937,Iraqi Candidate 3937,النصر,أربيل,أنثى,,,,,,
2025_3949_أربيل,المرشح العراقي 3949,Iraqi Candidate 3949,الحزب الشيوعي العراقي,أربيل,أنثى,,,,,,
2025_3966_أربيل,المرشح العراقي 3966,Iraqi Candidate 3966,حركة امتداد,أربيل,ذكر,,,,,,
2025_3993_أربيل,المرشح العراقي 3993,Iraqi Candidate 3993,الوطنية,أربيل,أنثى,,,,,,
2025_3997_أربيل,المرشح العراقي 3997,Iraqi Candidate 3997,تحالف السيادة,أربيل,أنثى,,,,,,
2025_4032_أربيل,المرشح العراقي 4032,Iraqi Candidate 4032,الاتحاد الوطني الكردستاني,أربيل,ذكر,,,,,,
2025_4049_أربيل,المرشح العراقي 4049,Iraqi Candidate 4049,تقدم,أربيل,أنثى,,,,,,
2025_4051_أربيل,المرشح العراقي 4051,Iraqi Candidate 4051,تقدم,أربيل,أنثى,,,,,,
2025_409_أربيل,المرشح العراقي 409,Iraqi Candidate 409,تقدم,أربيل,ذكر,,,,,,
2025_4101_أربيل,المرشح العراقي 4101,Iraqi Candidate 4101,العزم,أربيل,أنثى,,,,,,
2025_4110_أربيل,المرشح العراقي 4110,Iraqi Candidate 4110,الحكمة,أربيل,أنثى,,,,,,
2025_4137_أربيل,المرشح العراقي 4137,Iraqi Candidate 4137,حركة امتداد,أربيل,ذكر,,,,,,
2025_4139_أربيل,المرشح العراقي 4139,Iraqi Candidate 4139,الاتحاد الوطني الكردستاني,أربيل,أنثى,,,,,,
2025_4146_أربيل,المرشح العراقي 4146,Iraqi Candidate 4146,الحزب الشيوعي العراقي,أربيل,ذكر,,,,,,
2025_4155_أربيل,المرشح العراقي 4155,Iraqi Candidate 4155,تحالف السيادة,أربيل,أنثى,,,,,,
2025_4181_أربيل,المرشح العراقي 4181,Iraqi Candidate 4181,الوطنية,أربيل,ذكر,,,,,,
2025_419_أربيل,المرشح العراقي 419,Iraqi Candidate 419,تقدم,أربيل,أنثى,,,,,,
2025_4214_أربيل,المرشح العراقي 4214,Iraqi Candidate 4214,دولة القانون,أربيل,أنثى,,,,,,
2025_4233_أربيل,المرشح العراقي 4233,Iraqi Candidate 4233,تحالف عزم,أربيل,ذكر,,,,,,
2025_4254_أربيل,المرشح العراقي 4254,Iraqi Candidate 4254,الفتح,أربيل,ذكر,,,,,,
2025_4260_أربيل,المرشح العراقي 4260,Iraqi Candidate 4260,دولة القانون,أربيل,ذكر,,,,,,
2025_4311_أربيل,المرشح العراقي 4311,Iraqi Candidate 4311,الحزب الشيوعي العراقي,أربيل,ذكر,+964789505987,candidate43114311@yahoo.com,https://twitter.com/candidate43114311,,,collected
2025_4314_أربيل,المرشح العراقي 4314,Iraqi Candidate 4314,سائرون,أربيل,ذكر,,,,,,
2025_4317_أربيل,المرشح العراقي 4317,Iraqi Candidate 4317,تحالف السيادة,أربيل,أنثى,,,,,,
2025_4332_أربيل,المرشح العراقي 4332,Iraqi Candidate 4332,النصر,أربيل,أنثى,,,,,,
2025_4334_أربيل,المرشح العراقي 4334,Iraqi Candidate 4334,حركة امتداد,أربيل,ذكر,+964771097860,candidate43344334@yahoo.com,https://twitter.com/candidate43344334,,,collected
2025_4402_أربيل,المرشح العراقي 4402,Iraqi Candidate 4402,سائرون,أربيل,ذكر,,,,,,
2025_4431_أربيل,المرشح العراقي 4431,Iraqi Candidate 4431,الحزب الديمقراطي الكردستاني,أربيل,أنثى,,,,,,
2025_4442_أربيل,المرشح العراقي 4442,Iraqi Candidate 4442,الحزب الشيوعي العراقي,أربيل,أنثى,,,,,,
2025_4455_أربيل,المرشح العراقي 4455,Iraqi Candidate 4455,تقدم,أربيل,أنثى,,,,,,
2025_4469_أربيل,المرشح العراقي 4469,Iraqi Candidate 4469,النصر,أربيل,أنثى,,,,,,
2025_4475_أربيل,المرشح العراقي 4475,Iraqi Candidate 4475,الحزب الديمقراطي الكردستاني,أربيل,أنثى,,,,,,
2025_4485_أربيل,المرشح العراقي 4485,Iraqi Candidate 4485,الحزب الشيوعي العراقي,أربيل,ذكر,,,,,,
2025_4521_أربيل,المرشح العراقي 4521,Iraqi Candidate 4521,تقدم,أربيل,أنثى,,,,,,
2025_4531_أربيل,المرشح العراقي 4531,Iraqi Candidate 4531,النصر,أربيل,أنثى,,,,,,
2025_4537_أربيل,المرشح العراقي 4537,Iraqi Candidate 4537,الحزب الشيوعي العراقي,أربيل,أنثى,,,,,,
2025_4542_أربيل,المرشح العراقي 4542,Iraqi Candidate 4542,النصر,أربيل,أنثى,,,,,,
2025_4552_أربيل,المرشح العراقي 4552,Iraqi Candidate 4552,تحالف عزم,أربيل,ذكر,,,,,,
2025_4557_أربيل,المرشح العراقي 4557,Iraqi Candidate 4557,حركة امتداد,أربيل,أنثى,,,,,,
2025_4565_أربيل,المرشح العراقي 4565,Iraqi Candidate 4565,تحالف السيادة,أربيل,ذكر,,,,,,
2025_457_أربيل,المرشح العراقي 457,Iraqi Candidate 457,حركة امتداد,أربيل,أنثى,,,,,,
2025_4580_أربيل,المرشح العراقي 4580,Iraqi Candidate 4580,الحزب الشيوعي العراقي,أربيل,أنثى,,,,,,
2025_4582_أربيل,المرشح العراقي 4582,Iraqi Candidate 4582,النصر,أربيل,أنثى,,,,,,
2025_4597_أربيل,المرشح العراقي 4597,Iraqi Candidate 4597,سائرون,أربيل,أنثى,,,,,,
2025_4607_أربيل,المرشح العراقي 4607,Iraqi Candidate 4607,دولة القانون,أربيل,أنثى,,,,,,
2025_4615_أربيل,المرشح العراقي 4615,Iraqi Candidate 4615,تحالف عزم,أربيل,ذكر,,,,,,
